Mean,Stdev,Term1,Term2,CUI1,CUI2
840.25,414.4766781,ataxia,ethanol,C0004134,C0001962
309.25,86.9765294,ataxia,constipation,C0004134,C0009806
708.25,374.1464731,atenolol,lasix,C0004147,C0016860
1279.25,70.43377504,atenolol,toprol,C0004147,C0025859
936,332.3582405,atherosclerosis,angina,C0004153,C0002962
257.75,192.3839477,atherosclerosis,influenzae,C0004153,C0021400
224.5,143.0466124,atherosclerosis,toothache,C0004153,C0040460
337.75,94.97850634,bleomycin,antabuse,C0005740,C0012772
207.75,133.4450574,blepharospasm,coumadin,C0005747,C0043031
321.25,144.3776876,blepharospasm,bedwetting,C0005747,C0270327
242.75,33.53977738,bronchitis,loperamide,C0006277,C0023992
1019.75,253.4881654,bronchitis,pneumonia,C0006277,C0032285
737.25,374.5774286,bronchitis,singulair,C0006277,C0298130
199.75,134.5173471,brucellosis,narcan,C0006309,C0027358
1195.75,137.942923,brucellosis,zoonosis,C0006309,C0043528
390.25,138.5769942,candidiasis,medrol,C0006840,C0025815
1151.25,120.7680283,candidiasis,mycosis,C0006840,C0026946
1168.75,183.4963669,carsickness,nausea,C0007297,C0027497
890,342.4499963,catatonia,lethargy,C0007398,C0023380
458,192.0572831,catatonia,narcan,C0007398,C0027358
1174.5,148.7671559,cefaclor,cefoxitin,C0007537,C0007557
645.5,467.4672894,cisplatin,zofran,C0008838,C0061851
921.25,213.0702153,catapres,toprol,C0009014,C0025859
967,167.7637227,clonus,spasm,C0009024,C0037763
317.5,62.19056734,clonus,wellbutrin,C0009024,C0085208
219.5,142.4792383,cluttering,nitroglycerine,C0009090,C0017887
981.25,207.9060285,coccidioidomycosis,histoplasmosis,C0009186,C0019655
830.75,432.5708998,codeine,robitussin,C0009214,C0011816
578.5,357.6194439,codeine,narcan,C0009214,C0027358
851.25,123.6348791,colchicine,prednisolone,C0009262,C0032950
1098.75,81.30754373,colchicine,probenecid,C0009262,C0033209
163,83.15447472,colitis,epilepsy,C0009319,C0014544
668,378.754978,comatose,anoxia,C0009421,C0003129
565,322.9127849,comatose,hepatitis,C0009421,C0019158
922.25,460.1603887,comatose,hyperglycemia,C0009421,C0020456
265.25,169.3799969,comatose,cataracts,C0009421,C0086543
161,115.6460116,constipation,diarrhea,C0009806,C0011991
193,123.2990943,constipation,calan,C0009806,C0042523
835.25,439.5121348,convulsion,ethanol,C0009951,C0001962
1302.75,201.8619578,convulsion,epilepsy,C0009951,C0014544
869.25,452.7673244,convulsion,wellbutrin,C0009951,C0085208
214.75,139.1866253,cortisone,adenosine,C0010137,C0001443
582.75,253.4158309,deafness,ataxia,C0011053,C0004134
925.75,430.6726328,dehydration,dysentery,C0011175,C0013369
977,275.5685033,dehydration,starvation,C0011175,C0038187
897.75,365.3932813,dehydration,syncope,C0011175,C0039070
1188,163.8719012,dermatitis,allergy,C0011603,C1998461
1019.5,19.48503699,dermatomyositis,myopathy,C0011633,C0026848
472,327.7082035,dexamethasone,actonel,C0011777,C0246719
1234.75,84.10459758,diabetes,hyperglycemia,C0011847,C0020456
1155.25,507.8092654,diabetes,insulin,C0011847,C0021641
1066,201.8728973,diabetes,polyuria,C0011847,C0032617
412,269.0811526,diabetes,psoriasis,C0011847,C0033860
1031.5,542.721844,diabetes,polydipsia,C0011847,C0085602
508.75,336.3880448,diarrhea,cefaclor,C0011991,C0007537
794.5,410.6624729,diarrhea,colchicine,C0011991,C0009262
893.25,390.3557138,dizziness,ethanol,C0012833,C0001962
617.75,570.7365855,dizziness,atenolol,C0012833,C0004147
1287,152.8768568,dizziness,vertigo,C0012833,C0042571
662.75,504.8388357,drooling,sinemet,C0013132,C0006982
800.75,383.4817466,drooling,sinemet,C0013132,C0023570
395,441.4619651,drooling,chills,C0013132,C0085593
229.5,155.697356,dysentery,esmolol,C0013369,C0116569
1052.25,132.5553344,dyspnea,cyanosis,C0013404,C0010520
836,398.345746,dyspnea,medrol,C0013404,C0025815
578.25,389.6600014,dyspnea,narcan,C0013404,C0027358
593.25,297.2533992,dyspnea,agitation,C0013404,C0085631
1075.5,220.9517293,dyspnea,spiriva,C0013404,C0213771
384,414.7232009,dyspnea,penicillin,C0013404,C0220892
615.5,508.7976022,dysuria,cipro,C0013428,C0008809
212.5,181.071809,dysuria,plavix,C0013428,C0070166
760.25,449.1060565,earache,hyperacusis,C0013456,C0034880
367.75,309.718555,earache,crowning,C0013456,C0233212
1290.25,214.6491323,emaciation,cachexia,C0013911,C0006625
1280,143.4224529,enalapril,lisinopril,C0014025,C0065374
1052.5,145.8892274,encephalitis,headache,C0014038,C0018681
1037.75,139.9604111,encephalitis,meningitis,C0014038,C0025289
566.75,408.8474654,epilepsy,alcohol,C0014544,C0001975
404.25,242.1822661,epilepsy,anosmia,C0014544,C0003126
208.25,133.2075448,epilepsy,hepatomegaly,C0014544,C0019209
506.75,460.0227349,epilepsy,ischemia,C0014544,C0022116
836.5,376.7089947,epilepsy,ativan,C0014544,C0024002
940.75,349.8870056,epilepsy,phenobarbital,C0014544,C0031412
329.25,160.2901016,epilepsy,actonel,C0014544,C0246719
345.5,157.6187383,erythromycin,allopurinol,C0014806,C0002144
430,213.780261,erythromycin,lidocaine,C0014806,C0023660
928.5,452.5737509,exophthalmos,synthroid,C0015300,C0040165
1247.25,121.5850183,pepcid,zantac,C0015620,C0034665
802.25,311.1081002,flatulence,halitosis,C0016204,C0018520
511.5,291.7641742,flushing,iron,C0016382,C0060277
658.5,327.6842993,lasix,mannitol,C0016860,C0024730
1255.75,151.809914,gastroenteritis,dysentery,C0017160,C0013369
351.75,122.5680083,gastroenteritis,insulin,C0017160,C0021641
391,175.4840923,gastroenteritis,cromolyn,C0017160,C0086073
152.75,91.63832895,giardiasis,mannerism,C0017536,C0233576
422,265.6363429,giardiasis,avitaminosis,C0017536,C0376286
841.25,530.4604132,glaucoma,headache,C0017601,C0018681
279,178.9189761,glaucoma,fibrillation,C0017601,C0232197
1128.25,80.70677378,glyburide,avandia,C0017628,C0289313
785.25,348.6004159,nitroglycerine,toprol,C0017887,C0025859
394,464.4961428,goiter,scleroderma,C0018021,C0011644
324.75,243.176719,goiter,vasculitis,C0018021,C0042384
173,113.8712724,gonorrhea,plavix,C0018081,C0070166
193.75,168.4683452,gonorrhea,xenical,C0018081,C0076275
879.5,418.639463,headache,tylenol,C0018681,C0000970
413.25,98.01487982,headache,flushing,C0018681,C0016382
893.5,426.7352809,heartburn,pepcid,C0018834,C0015620
644,390.670364,heartburn,motrin,C0018834,C0020740
1012.25,81.9852629,hematemesis,vomiting,C0018926,C0027498
561.5,346.137256,hemiplegia,headache,C0018991,C0018681
704.5,499.5214376,hemiplegia,plavix,C0018991,C0070166
382,374.5566268,hemochromatosis,anosmia,C0018995,C0003126
774.25,342.1367904,hemochromatosis,arthralgia,C0018995,C0003862
858.25,404.4217065,hemochromatosis,arthritis,C0018995,C0003864
309.5,112.7519401,hemochromatosis,polyuria,C0018995,C0032617
505.25,325.2274845,hemoglobinopathy,pain,C0019045,C0030193
908.25,324.8500936,hemoptysis,hematemesis,C0019079,C0018926
544,419.838064,hemoptysis,protamine,C0019079,C0033603
936.75,504.4140991,hemoptysis,coumadin,C0019079,C0043031
191.25,118.9576255,haemorrhoids,infertility,C0019112,C0021359
691,231.9712626,heparin,protamine,C0019134,C0033603
880.25,343.2757638,hepatitis,tylenol,C0019158,C0000970
778,541.8123907,hepatitis,hematemesis,C0019158,C0018926
910.25,434.8619513,hepatitis,hepatomegaly,C0019158,C0019209
1173,155.385542,hepatitis,cirrhosis,C0019158,C1623038
1164.75,81.89169677,hepatomegaly,hepatosplenomegaly,C0019209,C0019214
418,292.1027217,hernia,sinemet,C0019270,C0006982
179.75,127.2566305,hernias,earache,C0019270,C0013456
354.75,321.7280166,hernia,goiter,C0019270,C0018021
237.75,37.7657252,hernias,dementia,C0019270,C0497327
475.25,195.0715681,herpes,cholestasis,C0019340,C0008370
142.5,48.44584606,herpes,hyperthyroidism,C0019340,C0020550
290,86.35199284,histoplasmosis,prednisolone,C0019655,C0032950
1134.5,281.3651246,hunger,starvation,C0020175,C0038187
493.75,194.939948,hyperthyroidism,osteoporosis,C0020550,C0029456
792.25,514.4585341,hyperthyroidism,seizures,C0020550,C0036572
519.75,252.2371569,hypoproteinemia,hunger,C0020639,C0020175
710.75,367.2668194,hypothyroidism,comatose,C0020676,C0009421
598,277.1618059,hypothyroidism,infertility,C0020676,C0021359
984.75,472.0821786,hypothyroidism,synthroid,C0020676,C0040165
948.75,484.4201861,hypothyroidism,tiredness,C0020676,C0557875
904.75,490.5536838,hypothyroidism,weakness,C0020676,C1883552
739.5,467.6027516,incontinence,lasix,C0021167,C0016860
1192.75,201.6752753,infertility,anovulation,C0021359,C0003128
225.25,147.8611398,infertility,blepharospasm,C0021359,C0005747
853.5,442.3275559,infertility,carboplatin,C0021359,C0079083
346,140.5702671,infertility,fibrillation,C0021359,C0232197
919,395.5637327,influenzae,amantadine,C0021400,C0002403
898.5,434.6481336,influenza,pneumoniae,C0021400,C0032285
1031.5,87.98674143,isosorbide,toprol,C0022251,C0025859
890,261.8663781,leukopenia,bleomycin,C0023530,C0005740
343,136.5210606,leukopenia,cefaclor,C0023530,C0007537
416.25,162.0460326,leukopenia,penicillin,C0023530,C0220892
1533.5,103.3198916,sinemet,sinemet,C0023570,C0006982
767,323.6510467,loperamide,dulcolax,C0023992,C0005632
223,114.5862121,mannitol,tylenol,C0024730,C0000970
807.5,396.4008914,mastodynia,earache,C0024902,C0013456
713.5,319.7598057,meningism,zovirax,C0025287,C0001367
536.75,454.1015856,meningism,hyperesthesia,C0025287,C0020453
1221.25,73.91154623,meningitis,headache,C0025289,C0018681
864.5,480.3037234,meningitis,meningism,C0025289,C0025287
871.25,394.6013811,meningitis,tuberculosis,C0025289,C0041296
792.25,375.6633023,metatarsalgia,colchicine,C0025587,C0009262
573.25,409.1025747,metatarsalgia,toothache,C0025587,C0040460
663.5,450.5925728,methadone,ultram,C0025605,C0040610
1387.5,187.434433,medrol,prednisolone,C0025815,C0032950
555.25,410.5966188,myopathy,trembling,C0026848,C0234369
1282.5,114.5382032,mycosis,histoplasmosis,C0026946,C0019655
975.5,266.4638812,mycoses,meningitis,C0026946,C0025289
388.75,122.5652887,mycosis,medrol,C0026946,C0025815
355.25,303.0823595,mycosis,pain,C0026946,C0030193
340.5,149.7675977,mycosis,carboplatin,C0026946,C0079083
300.5,123.7968766,mycosis,lipitor,C0026946,C0286651
792.75,383.3417753,myositis,medrol,C0027121,C0025815
1103,158.1981879,myositis,myopathy,C0027121,C0026848
853.75,402.5844632,myositis,lipitor,C0027121,C0286651
484.25,189.431386,narcan,duragesic,C0027358,C0015846
571.5,388.8225816,narcan,morphine,C0027358,C0026549
1039.25,194.23418,nausea,vomiting,C0027497,C0027498
974,495.7869166,nausea,zofran,C0027497,C0061851
807.5,437.6410249,nephritis,pyorrhea,C0027697,C0553735
680.25,481.2479437,nocturia,ethanol,C0028734,C0001962
353.75,240.4833674,nocturia,bacitracin,C0028734,C0004899
775.25,445.7842341,nocturia,diabetes,C0028734,C0011847
365.75,120.6299438,nystagmus,incontinence,C0028738,C0021167
1142.25,149.738383,obesity,diabetes,C0028754,C0011847
860,440.8680831,obesity,snoring,C0028754,C0037384
1007.25,349.0648221,obesity,xenical,C0028754,C0076275
305.75,55.59601305,prilosec,glucophage,C0028978,C0025598
755,446.9541363,osteoporosis,prednisolone,C0029456,C0032950
240.75,152.7577058,osteoporosis,thrombus,C0029456,C0087086
811.25,487.3057733,osteoporosis,actonel,C0029456,C0246719
295.25,68.02634294,osteoporosis,cardiomyopathy,C0029456,C0878544
567,442.5795597,otitis,meningism,C0029877,C0025287
996.75,349.9555924,pain,morphine,C0030193,C0026549
528.75,378.4348249,pallor,albumin,C0030232,C0001924
406.75,298.6507157,pallor,aspirin,C0030232,C0004057
638.25,320.0493452,pallor,coumadin,C0030232,C0043031
901.75,497.0160125,pallor,iron,C0030232,C0060277
955,156.7949829,pallor,blanching,C0030232,C0948786
1109.5,170.2204453,pallor,weakness,C0030232,C1883552
749.5,363.5432116,pancreatitis,insulin,C0030305,C0021641
342,243.4543078,pancreatitis,cataract,C0030305,C0086543
281.75,113.3177685,peritonitis,ataxia,C0031154,C0004134
284.25,158.1863353,photosensitization,aphonia,C0031763,C0003564
957.75,104.8630059,photosensitization,dermatitis,C0031763,C0011603
816.25,403.5247824,plague,adenitis,C0032064,C0001416
255.25,139.9818441,plague,cholestyramine,C0032064,C0008402
623.25,347.8844396,pneumonia,cyanosis,C0032285,C0010520
833.75,409.9864835,pneumoniae,dyspnea,C0032285,C0013404
959.25,323.2309546,pneumoniae,septicemia,C0032285,C0036690
633.75,366.5600224,pneumoniae,weakness,C0032285,C1883552
766.75,430.4426985,polyuria,insulin,C0032617,C0021641
189.5,139.069527,polyuria,chyluria,C0032617,C0159075
993.25,163.1223978,polyuria,ketonuria,C0032617,C0162275
1047,252.3410391,proteinuria,diabetes,C0033687,C0011847
285.25,206.89188,proteinuria,rogaine,C0033687,C0026196
926.5,591.8966689,proteinuria,lisinopril,C0033687,C0065374
1148.75,202.8125161,psoriasis,arthritis,C0033860,C0003864
169.5,111.9002532,psoriasis,atherosclerosis,C0033860,C0004153
222.25,105.5221146,psoriasis,meningism,C0033860,C0025287
221.25,142.0079223,psoriasis,spasm,C0033860,C0037763
256.25,51.29246208,rabies,acne,C0034494,C0702166
687.5,336.8169632,rales,cyanosis,C0034642,C0010520
742,269.447583,rales,lasix,C0034642,C0016860
251.25,148.8273608,rales,hyperacusis,C0034642,C0034880
431.75,73.47278408,hyperacusis,aphonia,C0034880,C0003564
607.5,530.8612499,hyperacusis,bleomycin,C0034880,C0005740
923.5,447.730946,rheumatism,tylenol,C0035435,C0000970
775.25,402.8815996,rheumatism,colchicine,C0035435,C0009262
883.25,433.1907778,rheumatism,prednisolone,C0035435,C0032950
384.75,157.6353915,rheumatism,sleeplessness,C0035435,C0917801
1075.5,202.0140259,rhonchi,rales,C0035508,C0034642
1187.5,205.7579484,schistosomiasis,parasitemia,C0036323,C0242723
854.5,409.8426527,sciatica,motrin,C0036396,C0020740
465,428.9623138,seasickness,ethanol,C0036494,C0001962
893.25,587.0073111,seasickness,carsickness,C0036494,C0007297
870.75,398.3477334,seasickness,nausea,C0036494,C0027497
306.25,24.89143092,seasickness,clubbing,C0036494,C0149651
332.75,160.2381041,seizures,insulin,C0036572,C0021641
1001.75,232.3207194,seizures,dilantin,C0036572,C0031507
190.75,158.3527181,seizures,calamine,C0036572,C0357929
434.5,305.750988,septicemia,dyspnea,C0036690,C0013404
721.5,499.2484352,smallpox,vaccinia,C0037354,C0042214
706.25,441.9210902,snoring,ethanol,C0037384,C0001962
242,163.0766691,snoring,loperamide,C0037384,C0023992
492.75,388.7530279,snoring,stridor,C0037384,C0038450
327.5,190.2988877,snoring,welts,C0037384,C0221232
415.75,203.501638,spasm,lasix,C0037763,C0016860
665.75,418.1039544,spasm,opisthotonus,C0037763,C0151818
1176.75,168.8675516,starvation,anorexia,C0038187,C0003123
319,198.3515398,starvation,cisplatin,C0038187,C0008838
145.5,102.3213891,starvation,mittelschmerz,C0038187,C0152149
646.5,362.5598801,stridor,snoring,C0038450,C0037384
618.25,294.6889603,syncope,xanax,C0039070,C0002333
639.5,367.6107543,syncope,atenolol,C0039070,C0004147
737,369.0718087,syncope,weakness,C0039070,C1883552
1132.25,291.485134,syphilis,gonorrhea,C0039128,C0018081
1094.25,596.8368705,syphilis,penicillin,C0039128,C0220892
960.5,484.1215412,syphilis,dementias,C0039128,C0497327
1307,169.2985529,thalassemia,hemoglobinopathy,C0039730,C0019045
231.5,177.6597872,thalassemia,tremor,C0039730,C0040822
892.5,299.0278694,thalassemia,iron,C0039730,C0060277
306.5,107.0124603,thrombocytopenia,arthritis,C0040034,C0003864
328.5,143.808901,thrombocytopenia,heartburn,C0040034,C0018834
962.5,445.9375891,thromboembolism,dyspnea,C0040038,C0013404
852,368.1150183,thromboembolism,hemoptysis,C0040038,C0019079
969.75,549.9135538,thromboembolism,heparin,C0040038,C0019134
728.5,421.9450991,thromboembolism,syncope,C0040038,C0039070
964.75,457.3345785,thromboembolism,coumadin,C0040038,C0043031
1026.5,530.6634213,thromboembolism,fibrillation,C0040038,C0232197
270.25,175.2357935,synthroid,lidocaine,C0040165,C0023660
255.5,202.2778617,toothache,ataxia,C0040460,C0004134
343,111.1365526,torticollis,erythromycin,C0040485,C0014806
1104,99.32102832,torticollis,spasm,C0040485,C0037763
840.5,455.2761067,tremor,sinemet,C0040822,C0023570
789.5,511.7665483,tuberculosis,hemoptysis,C0041296,C0019079
631.25,323.9118965,tuberculosis,clubbing,C0041296,C0149651
468.5,275.3646068,erythema,dilantin,C0041834,C0031507
316,201.2676493,erythema,tremor,C0041834,C0040822
256,186.801142,uremia,aspirin,C0041948,C0004057
499.5,198.0345088,uremia,emaciation,C0041948,C0013911
393.25,161.7474884,uremia,motrin,C0041948,C0020740
621.25,326.3886998,uremia,nausea,C0041948,C0027497
551,419.1602717,uremia,pyorrhea,C0041948,C0553735
657.5,352.973559,uremia,hypersomnolence,C0041948,C0751229
372.5,117.8148265,vasculitis,convulsion,C0042384,C0009951
363.5,158.88885,vasculitis,hemiplegia,C0042384,C0018991
543,469.5032836,virilization,drooling,C0042755,C0013132
1019.75,98.1270435,coumadin,aspirin,C0043031,C0004057
1136.75,104.7771445,zoonosis,babesiosis,C0043528,C0004576
997.25,510.0760564,zoonosis,plague,C0043528,C0032064
965,376.9889477,zithromax,cipro,C0052796,C0008809
648.25,367.8970644,cefepime,bacitracin,C0055003,C0004899
1395,394.6348523,iron,iron,C0060277,C0060277
286.25,173.8531468,plavix,insulin,C0070166,C0021641
1183.5,168.8342382,plavix,coumadin,C0070166,C0043031
895.5,467.689712,plavix,lipitor,C0070166,C0286651
1138.75,155.9580606,zoloft,prozac,C0074393,C0016365
1273.5,191.5019582,carboplatin,cisplatin,C0079083,C0008838
940,502.8923013,carboplatin,zofran,C0079083,C0061851
322.5,105.6834897,chills,snoring,C0085593,C0037384
1135.5,76.45695957,polydipsia,polyuria,C0085602,C0032617
527.5,137.0510854,agitation,morphine,C0085631,C0026549
637.5,279.6158079,agitation,synthroid,C0085631,C0040165
632,395.7524479,photopsia,headache,C0085635,C0018681
856,270.3676509,cromolyn,prednisolone,C0086073,C0032950
652.75,286.07968,cataracts,diabetes,C0086543,C0011847
391,306.0076252,cataracts,insulin,C0086543,C0021641
272.75,186.5804116,cataracts,glucophage,C0086543,C0025598
263.5,211.6766402,cataracts,narcan,C0086543,C0027358
307.5,170.9980507,cataracts,pancreatitis,C0086543,C0030305
217.25,161.9596143,cataracts,wheezing,C0086543,C0043144
1058.75,56.42325171,esmolol,amiodarone,C0116569,C0002598
1243.5,52.69724851,cozaar,diovan,C0126174,C0216784
167.75,136.3142815,clubbing,constipation,C0149651,C0009806
930.75,311.8593433,clubbing,dyspnea,C0149651,C0013404
846.75,260.0517577,clubbing,spiriva,C0149651,C0213771
194,167.2821967,clubbing,garlic,C0149651,C0885057
199.25,129.0539293,mittelschmerz,aphonia,C0152149,C0003564
567.75,486.2142018,mittelschmerz,toothache,C0152149,C0040460
307.5,121.0192822,mittelschmerz,actonel,C0152149,C0246719
891.5,336.0560469,ketonuria,insulin,C0162275,C0021641
1225.25,175.6632669,ketonuria,starvation,C0162275,C0038187
334.5,105.9984277,ketonuria,chyluria,C0162275,C0159075
858,318.1540507,glomerulosclerosis,proteinuria,C0178664,C0033687
670.75,358.393057,reticulocytosis,aspirin,C0206160,C0004057
427,160.6881037,reticulocytosis,hematemesis,C0206160,C0018926
1078.75,149.9697192,penicillin,cefazolin,C0220892,C0007546
261.25,248.6327613,hyperextension,bacitracin,C0231451,C0004899
338,175.5676508,hyperextension,hunger,C0231451,C0020175
303.25,65.71339285,fishmouth,polyuria,C0231851,C0032617
725.5,396.8715157,fibrillation,angina,C0232197,C0002962
817.25,391.0033035,fibrillation,atenolol,C0232197,C0004147
348,170.4464725,fibrillation,halitosis,C0232197,C0018520
881.5,393.308615,fibrillation,synthroid,C0232197,C0040165
1106.75,570.2294129,fibrillation,coumadin,C0232197,C0043031
256,214.151037,fibrillation,calamine,C0232197,C0357929
764.5,403.7899619,fibrillation,cardiomyopathies,C0232197,C0878544
935.25,503.1556254,thirsty,lasix,C0232471,C0016860
935.75,184.0858043,thirsty,hunger,C0232471,C0020175
1240.25,89.22396913,hyperemesis,nausea,C0235250,C0027497
738.5,467.4330612,hyperemesis,zofran,C0235250,C0061851
765.25,357.7814743,hyperemesis,carboplatin,C0235250,C0079083
634,330.0646401,grimaces,hemiballismus,C0239779,C0221169
806,371.3192696,dyslipidemia,angina,C0242339,C0002962
889.5,338.4814126,dyslipidemia,cholestyramine,C0242339,C0008402
318.5,97.15451611,dyslipidemia,constipation,C0242339,C0009806
809.5,594.0014029,dyslipidemia,hyperlipidemia,C0242339,C0020473
531.75,170.8027615,dyslipidemia,activase,C0242339,C0032143
239,152.750341,dyslipidemia,iron,C0242339,C0060277
1029.5,465.8944802,dyslipidemia,lipitor,C0242339,C0286651
252,187.4086444,hyperoxia,anoxia,C0242706,C0003129
343.5,346.612656,hyperoxia,xenical,C0242706,C0076275
1239.25,90.56995455,parasitemia,malaria,C0242723,C0024530
1276.5,162.5638336,actonel,fosamax,C0246719,C0102118
1120.25,245.0433635,levaquin,avelox,C0282386,C0536495
1174.75,116.9711503,lipitor,lovastatin,C0286651,C0024027
1330.75,69.45202181,lipitor,zocor,C0286651,C0074554
227,148.9854579,calamine,bleomycin,C0357929,C0005740
984.75,226.8279451,avitaminosis,starvation,C0376286,C0038187
469.75,297.6310636,thrombophilias,hemoptysis,C0398623,C0019079
846.75,414.6784899,thrombophilias,coumadin,C0398623,C0043031
477.25,376.1837982,neuropathy,constipation,C0442874,C0009806
1032,372.9262662,neuropathy,diabetes,C0442874,C0011847
754.75,361.710174,neuropathy,insulin,C0442874,C0021641
487.75,346.5990719,neuropathy,glucophage,C0442874,C0025598
1034,540.5756191,neuropathy,syphilis,C0442874,C0039128
777.5,461.8026274,pyorrhea,nephritis,C0553735,C0027697
537,354.2306217,tiredness,atenolol,C0557875,C0004147
233.75,223.5089484,tiredness,calan,C0557875,C0042523
1055.25,346.3912768,tiredness,hypersomnolence,C0557875,C0751229
450,319.137379,hemophilia,thromboembolism,C0684275,C0040038
776.75,425.0838153,bandemia,meningism,C0741439,C0025287
503.25,181.1175953,bandemia,nausea,C0741439,C0027497
764,420.6716851,hypersomnolence,snoring,C0751229,C0037384
358,128.7814686,myelosuppression,snoring,C0854467,C0037384
619.5,294.8101084,hemicrania,tylenol,C0877781,C0000970
298.75,156.610717,hemicrania,nitroglycerine,C0877781,C0017887
748.75,323.2567349,hemicrania,headache,C0877781,C0018681
241,92.04346799,cardiomyopathy,tylenol,C0878544,C0000970
861.5,404.4465354,cardiomyopathy,angina,C0878544,C0002962
705.75,377.0423274,cardiomyopathy,rales,C0878544,C0034642
869.5,428.5397687,cardiomyopathies,syncope,C0878544,C0039070
882.5,442.2160106,sleeplessness,agitation,C0917801,C0085631
1186.5,156.866185,sluggishness,fatigue,C0920289,C0015672
1180.75,166.1171775,blanching,pallor,C0948786,C0030232
232.75,150.4047318,overeating,sandimmune,C1257763,C0010592
396.5,241.3110027,overeating,seizures,C1257763,C0036572
160.75,116.7629365,overeating,malnutrition,C1257763,C0162429
727.5,347.2458303,cirrhosis,anemia,C1623038,C0002871
1040.25,575.4669843,cirrhosis,hematemesis,C1623038,C0018926
956,281.6096589,cirrhosis,hemochromatosis,C1623038,C0018995
706.25,448.9806046,cirrhosis,methotrexate,C1623038,C0025677
498,263.8838128,cirrhosis,zocor,C1623038,C0074554
390.5,107.4972868,cirrhosis,lipitor,C1623038,C0286651
682,504.6523556,weakness,cortisone,C1883552,C0010137
956.25,171.468899,weakness,emaciation,C1883552,C0013911
1158.25,157.1100994,weakness,paresis,C1883552,C0030552
889.75,454.5733348,weakness,zocor,C1883552,C0074554
203,128.0650876,allergy,bacitracin,C1998461,C0004899
319.5,160.3298683,allergy,meningism,C1998461,C0025287
1106.5,75.18200139,regurgitation,heartburn,C2004489,C0018834
